# File: ADAGE_mapping.csv
# Title: country-to-ADAGE-region mapping
# Units: none
# Column types: ccc 
# ----------
iso,country_name,ADAGE_region
afg,Afghanistan,ROW
alb,Albania,ROW
dza,Algeria,AFR
ago,Angola,AFR
arg,Argentina,XLM
arm,Armenia,ROW
aus,Australia,XAS
aut,Austria,EUR
aze,Azerbaijan,ROW
bgd,Bangladesh,XAS
blr,Belarus,ROW
bel,Belgium,EUR
blz,Belize,XLM
ben,Benin,AFR
btn,Bhutan,XAS
bol,Bolivia,XLM
bih,Bosnia & Herzegovina,ROW
bwa,Botswana,AFR
bra,Brazil,BRA
brn,Brunei,XAS
bgr,Bulgaria,EUR
bfa,Burkina Faso,AFR
bdi,Burundi,AFR
khm,Cambodia,XAS
cmr,Cameroon,AFR
can,Canada,ROW
cpv,Cape Verde,AFR
caf,Central African Republic,AFR
tcd,Chad,AFR
chl,Chile,XLM
chn,China,CHN
col,Colombia,XLM
com,Comoros,AFR
cog,Congo,AFR
cod,Congo DRC,AFR
cri,Costa Rica,XLM
civ,Cote dIvoire,AFR
hrv,Croatia,ROW
cub,Cuba,XLM
cyp,Cyprus,EUR
cze,Czech Republic,EUR
dnk,Denmark,EUR
dji,Djibouti,AFR
dma,Dominica,XLM
dom,Dominican Republic,AFR
ecu,Ecuador,XLM
egy,Egypt,AFR
slv,El Salvador,XLM
gnq,Equatorial Guinea,AFR
eri,Eritrea,AFR
est,Estonia,EUR
eth,Ethiopia,AFR
fji,Fiji,XAS
fin,Finland,EUR
fra,France,EUR
guf,French Guiana,XLM
gab,Gabon,AFR
geo,Georgia,ROW
deu,Germany,EUR
gha,Ghana,AFR
grc,Greece,EUR
glp,Guadeloupe,XLM
gum,Guam,USA
gtm,Guatemala,XLM
gin,Guinea,AFR
gnb,Guinea-Bissau,AFR
guy,Guyana,XLM
hti,Haiti,XLM
hnd,Honduras,XLM
hkg,Hong Kong,CHN
hun,Hungary,EUR
ind,India,XAS
idn,Indonesia,XAS
irn,Iran,ROW
irq,Iraq,ROW
irl,Ireland,EUR
isr,Israel,ROW
ita,Italy,EUR
jam,Jamaica,XLM
jpn,Japan,XAS
jor,Jordan,ROW
kaz,Kazakhstan,ROW
ken,Kenya,AFR
kwt,Kuwait,ROW
kgz,Kyrgyzstan,XAS
lao,Laos,XAS
lva,Latvia,EUR
lbn,Lebanon,XAS
lso,Lesotho,AFR
lbr,Liberia,AFR
lby,Libya,AFR
ltu,Lithuania,EUR
lux,Luxembourg,EUR
mkd,Macedonia,ROW
mdg,Madagascar,AFR
mwi,Malawi,AFR
mys,Malaysia,XAS
mli,Mali,AFR
mrt,Mauritania,AFR
mus,Mauritius,AFR
mex,Mexico,ROW
mda,Moldova,ROW
mng,Mongolia,XAS
mar,Morocco,AFR
moz,Mozambique,AFR
mmr,Myanmar,XAS
nam,Namibia,AFR
npl,Nepal,XAS
nld,Netherlands,EUR
ncl,New Caledonia,XAS
nzl,New Zealand,XAS
nic,Nicaragua,XLM
ner,Niger,AFR
nga,Nigeria,AFR
prk,North Korea,XAS
nor,Norway,ROW
pse,Occupied Palestinian Territory,XAS
omn,Oman,ROW
pak,Pakistan,XAS
pan,Panama,XLM
png,Papua New Guinea,XAS
pry,Paraguay,XLM
per,Peru,XLM
phl,Philippines,XAS
pol,Poland,EUR
prt,Portugal,EUR
pri,Puerto Rico,XLM
qat,Qatar,ROW
reu,Reunion,EUR
rom,Romania,EUR
rus,Russia,ROW
rwa,Rwanda,AFR
sau,Saudi Arabia,XAS
sen,Senegal,AFR
scg,Serbia and Montenegro,ROW
sle,Sierra Leone,AFR
sgp,Singapore,XAS
svk,Slovakia,EUR
svn,Slovenia,EUR
slb,Solomon Is.,XAS
som,Somalia,AFR
zaf,South Africa,AFR
kor,South Korea,XAS
esp,Spain,EUR
lka,Sri Lanka,XAS
kna,St. Kitts & Nevis,XLM
vct,St. Vincent & the Grenadines,XLM
sdn,Sudan,AFR
sur,Suriname,XLM
swz,Swaziland,ROW
swe,Sweden,EUR
che,Switzerland,ROW
syr,Syria,ROW
twn,Taiwan,XAS
tjk,Tajikistan,XAS
tza,Tanzania,AFR
tha,Thailand,XAS
bhs,The Bahamas,XLM
gmb,The Gambia,AFR
tls,Timor-Leste,XAS
tgo,Togo,AFR
tto,Trinidad & Tobago,XLM
tun,Tunisia,AFR
tur,Turkey,ROW
tkm,Turkmenistan,XAS
uga,Uganda,AFR
ukr,Ukraine,ROW
are,United Arab Emirates,ROW
gbr,United Kingdom,EUR
usa,United States,USA
ury,Uruguay,XLM
uzb,Uzbekistan,XAS
vut,Vanuatu,XAS
ven,Venezuela,XLM
vnm,Vietnam,XAS
vir,Virgin Is.,USA
yem,Yemen,ROW
zmb,Zambia,AFR
zwe,Zimbabwe,AFR
